post_id,post_text
31,#ride11082024 RIDE!! from Sunnyvale to Oakland 9:15 PM
32,#ride10102024 #ride10132024 RIDE!! Oakland-Sacramento 11:10 AM $18
33,#ride05232024  Oakland-Palo  Alto  |  7:00  PM  |  $10  |  1  seat
34,#ride11302025 Need a ride Palo Alto to Davis. Budget $22
35,Oakland  ->  Palo  Alto  |  2PM  |  $25  |  1  seat  🚗
36,#drive11082024 Need a drive San Jose -> Fremont. Budget $40 thx
37,#ride03022025 RIDE!! from Sacramento to Davis 4:45 PM $15
38,#ride03262025 Oakland to San Francisco 35 dollars leaving 7AM
39,#ride07262025 Need a rdie Sunnyvale ➜ San Jose. Budget
40,#drive10262025 DRIVE!! Davis to San Francisco 9:00 AM $25 😊
41,#ride03182025 RIDE!! Sunnyvale-Berkeley 6:10 AM $25
42,#ride01312024 Sacramento-San Jose | 10:30 AM | 10 dollars | 1 seat
43,#drive01132025 Sunnyvale-Sacramento | 6:00 AM | $22 | 1 seat
44,#ride01232025 Need a ride Oakland-Fremont. Budget $25
45,#drive12242025 Fremont ➜ Davis $18 leaving 6AM thx
46,#drive07242024 DRIVE!! Sunnyvale -> San Francisco 10PM $18 !!
47,#ride06142024 RIDE!! from Berkeley to San Jose 10:00 PM $15
48,#ride01132024 #ride01162024 Need a ride San Francisco-Sunnyvale. Budget $30
49,#drive04122024 Need a drive from Sacramento to Freomnt. Budget $35
50,#ride02262024 from San Jose to San Francisco | 9:00 PM | $12 | 1 seat
51,#drive02272025 Need a drive from Davis to San Jose. Budget $15
52,#drive01102025 #drive01112025 Sacramento ➜ Fremnot $35 leaving 7PM
53,#drive03262025 DRIVE!! Palo Alto ➜ Fremont 7AM $10-15
54,#ride06052024 Need a ride Davis ➜ Sacramento. Budget $25
55,#ride01202025 SF to Oakland $20 leaving 7PM flexible time
56,#ride09282025 from SF to Berkeley | 10PM | $35 | 1 seat
57,#drive08042024 Sunnyvale ➜ Palo Alto | 4PM | $12 | 1 seat 🚗
58,#ride06212025  RIDE!!  San  Francisco  ->  Berkeley  7PM  $10
59,#ride03092024  Need  a  ride  from  Oakland  to  Davis.  Budget
60,#ride05252024 RIDE!! Fremont to Davis 8PM $40-45
61,Need a ride SF -> San Jose. Budget $40
62,#drive03142025 San Jose -> Palo Alto | 3:30P M | $30 | 1 seat
63,#drive08102024 SF-Fremont | 8AM | $25 | 1 seat
64,#drive01062025 DRIVE!! Berkeley-Palo Alto 12PM $20 pls
65,San Francisco to Berkeley $15 leaving 2:50 PM
66,#ride04012025 Need a ride Sunnyvale -> San Jose. Budget $25
67,#drive02172024 Davis-Palo Alto $15-23 leaving 7PM !!
68,#ride11052024 RIDE!! San Jose ➜O akland 7PM $35-40
69,#drive01152024 from Davis to San Francisco  leaving 5:15 PM
70,"#ride02052025  #ride02062025  Need  a  ride  Oakland  ->  Sunnyvale.  Budget  $20
anyone?"
71,#ride07232025 RIDE!! Oakland ➜ Sacramento 8AM $15
72,#drive11132024 #drive11152024 DRIVE!! San Francisco -> Davis 11:20 AM
73,#ride01312024 rFemont ➜ Palo Alto | 6PM | $22 | 1 seat
74,#ride07102025 RIDE!! SJ -> Sacramento 5PM $25 thx
75,RIDE!! Davis to Berkeley 6:50 PM $10
76,"#drive08052025  DRIVE!!  Oakland  ->  Sunnyvale  4:50  PM  $40-48
comment  below"
77,"#drive09272024 Need a drive from Berkeley to Oakland. Budget
flexible time"
78,#drive07202025 #drive07272025 Need a drive Davis to Palo Alto. Budget $22
79,#ride01212024  San  Jose  ->  San  Francisco  $30  leaving  9:15  PM
80,#ride05092024 Davis -> Sacramento | 6PM | 40 dollars | 1 seat
81,#ride12022025 Need a ride Berkeley-San Francisco. Budget $25-33
82,#ride05102025 Need a ride from Fremont to San Francisco. Budget $40
83,#drive10232024 DRIVE!! San Francisco ➜ Berkeley 5:10 PM $40 😊
84,#drive11232025 #drive11302025 Palo Alto-Davis | 6:45 AM | $15 | 1 seat 🚗
85,#ride07192024 RIDE!! San Francisco-Sacramento 7:30 PM $18-26
86,#ride05032025 Need a ride Fremont ➜ San Jose. Budget $12 pls
87,#ride02202024 Davis to Sacramento $15 leaving 9AM
88,"#drive05262025 DRIVE!! Sacramento to Davis 7PM $18-28
pm me"
89,#drive02222025 DRIVE!! Berkeley-San Jose 7:10 PM $10-20 thx
90,#ride09112024 Palo Alto to San Francisco | 3PM | $10 | 1 seat 😊
91,#drive11192024 San Francisco to Davis | 4:50 PM | $25 | 1 seat pls
92,#ride11182025 Need a ride San Jose -> Sacramento. Budget $35 thx
93,#ride08252024  Sacramento-San  Jose  |  9PM  |  $15  |  1  seat
94,#ride01042025 SJ to Palo Alto $12 leaving 10PM 😊
95,#ride03032024 San Francisco -> Fremont | 11AM | $18 | 1 seat
96,#drive10292024 Need a drive Palo Alto ➜ Berkeley. Budget $22 🚗
97,#ride08142024 San Francisco -> San Jose $10 leaving 5:20 PM 😊
98,#ride20052025  RIDE!!  Palo  Alto-San  Francisco  7PM  10  dollars  pls
99,#ride01272024 RIDE!! Sunnyvale ➜ Fremont 10AM $40
100,#drive12282024 Davis ➜ San Jose | 11:20 AM | 40 dollars | 1 seat
101,#ride02252025  RIDE!!  Berkeley  to  Davis  1PM  $35-43
102,#drive01312025 #drive02072025 Fremont to Sunnyvale | 7:30 AM | $20 | 1 seat
103,#ride03052024 Need a ride Oakland ➜ Davis. Budget $18
104,#ride06212025 Need a ride from Berkeley to San Jose. Budget $22
105,#ride03122024 Fremont -> San Francisco | 1:00 PM | $15 | 1 esat pls
106,#drive04202024 #drive04272024 Sunnyvale ➜ Fremont | 1:30 PM | $15 | 1 seat
107,#drive07092025 San Jose ➜ Sunnyvale $20 leaving 5PM
108,#drive07302025 #drive08062025 Oakland to Davis | 6:20 AM | 22 dollars | 1 seat
109,#drive01072024 #drive01092024 DRIVE!! from Sunnyvale to Sacramento 1:00 PM 25 dollars 🚗
110,DRIVE!! Palo Alto ➜ Sacramento 7:45 AM $35 😊
111,#ride11022024 #ride11042024 Sunnyvale-Oakland | 10:15 AM | $20 | 1 seat pls
112,"#drive02062024  from  Davis  to  San  Francisco  |  6PM  |  $40  |  1  seat
pm  me"
113,#ride07052025  #ride07122025 RIDE!! Oakland ➜ Palo Alto 12:45 PM $20
114,#drive04072024 Palo Alto ➜ Oakland $20-28 leaving 3:20 PM
115,#drive09122025 Need a drive Sunnyvale ➜ SF. Budget 40 dollars !!
116,#drive06012025 Berkeley-San Jose | 8:45 PM | $10 | 1 seat
117,#drive10022024 from Oakland to Fremont | 10:10 PM |  | 1 seat 🚗
118,"#ride02252024 Need a ride Palo Alto ➜ Sunnyvale. Budget
flexible time"
119,Need a drive Oakland to San Francisco. Budget $18
120,#ride01232024 RIDE!! San Jose ➜ Davis 8PM $30-40 !!
121,#ride11182025  RIDE!!  from  Berkeley  to  Oakland  5PM  $15
122,"#ride09132025 Sacramento-Oakland $22 leaving 1PM
pm me"
123,#drive08102025 Need a drive Sunnyvale to Fremont. Budget $20
124,#ride06222025 #ride06242025 RIDE!! Sacramento-Davis 8PM $15-20
125,"#ride09072025 San Francisco to San Jose $22 leaving 8:40 AM
flexible time"
126,#drive01212025 Need a drive San Jose -> Sacramento. Budget $20-28
127,#drive10182024 from San Francisco to SF | 7:10 PM | $25 | 1 seat
128,#ride03102024  Need  a  ride  from  Berkeley  to  Sacramento.  Budget  $25
129,#drive01132024 Sunnyvale to Berkeley | 12PM | $35 | 1 seat thx
130,#ride05292025 RIDE!! from Berkeley to Palo Alto 9PM $35-45
131,#drive06242024 Berkeley ➜ Sunnyvale | 9:45 PM | $22 | 1 seat
132,#ride09062025 Fremont ➜ Davis | 11AM | $10 | 1 seat
133,#ride11102024 Sunnyvale ➜ Berkeley | 6:20 PM | 22 dollars | 1 seat
134,#drive05012025 Sunnyvale ➜ Davis $25-35 leaving 7PM
135,#ride12232024 Need a ride Berkeley to Fremont. Budget $12
136,"#ride01212024 Oakland -> Sacramento  leaving 6:20 AM
comment below"
137,#ride04302025 Need a ride San Francisco -> Palo Alto. Budget $10
138,#drive06302024 Need a drive from Sunnyvale to San Francisco. Budget $20 🚗
139,#ride07082025  Berkeley  ➜  Davis  $18  leaving  2PM  pls
140,#ride09122024 RIDE!! Sunnyvale-Oakland 7AM $20
141,#ride12222024 RIDE!! Oakland to Berkeley 10:15 PM 40 dollars pls
142,Oakland -> Berkeley $15-23 leaving 12:20 PM
143,#drive11262025  Need  a  drive  Fremont  ➜  Davis.  Budget  $10
144,#ride01232025 Need a ride San Francisco to Sacramento. Budget 10 dollars !!
145,#drive06142025 Need a drive from San Francisco to Fremont. Budget $15-25
146,Berkeley  ➜  Sunnyvale  |  10:15  PM  |  12  dollars  |  1  seat
147,#drive01132024 #drive01142024 Oakland-Sacramento | 8AM | $40-48 | 1 seat
148,"#drive11052025 #drive11082025 DRIVE!! Sacramento ➜ San Jose 7:30 AM $253-5
flexible time"
149,#drive01272024 #drive01292024 Need a drive San Francisco-Davis. Budget $20
150,#drive02142025 San Jose-Sunnyvale $20 leaving 10AM
151,#ride03062024 Need a ride Fremont ➜ Sunnyvale. Budget $40 !!
152,#drive08072024 Berkeley -> San Francisco $25 leaving 6:15 PM
153,#drive07182024 Need a drive SF -> Sunnyvale. Budget $12
154,#drive03082025 DRIVE!! from Davis to Oakland 8AM $30
155,#ride10092024 Need a ride Oakland ➜ San Jose. Budget $22 pls
156,#drive04212025 Need a drive Sunnyvale ➜ Oakland. Budget $20 🚗 pm me
157,#ride02282024 Need a ride San Francisco ➜ Sunnyvale. Budget $20-30 pls
158,#ride01122024 Palo Alto ➜ Fremont 40 dollars leaving 7:40 AM
159,#drive03152025 Need a drive Oakland-Sunnyvale. Budget $18 🚗
160,#ride07112024  Fremont  to  Sacramento  $18-23  leaving  7:20  PM
161,#drive08202024 Oakland ➜ Berkeley $18 leaving 9:40 AM
162,Davis  ->  San  Jose  |  6:20  PM  |  $18  |  1  seat
163,#drive06192025 Need a drive Sacramento-Fremont. Budget $30
164,#ride09042024 from SF to Davis $20 leaving 7:40 AM
165,#drive02122024 Oakland-Fremont | 6:00 AM | 30 dollars | 1 seat
166,#ride04062024 #ride04072024 San Francisco ➜ Oakland 18 dollars leaving 10:45 AM
167,"#ride01212025 Need a ride Sunnyvale -> Sac. Budget $22-32 😊
comment below"
168,#drive11302024 Palo Alto to Davis | 1PM | $10 | 1 seat
169,#drive08152025  Davis-Fremont  |  6PM  |  $18  |  1  seat  😊
170,#drive10312024  San  Francisco  to  Fremont  $35  leaving  12:15  PM
171,#drive07272025  DRIVE!!  from  Oakland  to  San  Francisco  11:50  AM
172,"#drive03022025 #drive03092025 from San Francisco to San Jose $35 leaving 2:00 PM !!
comment below"
173,#ride01202024 Need a ride Davis -> Fremont. Budget $30
174,#drive12152025 DRIVE!! San Francisco -> Davis 9:10 AM
175,Sacramento -> Davis  leaving 5PM 🚗
176,#ride06262024 Sacramento -> Fremont  leaving 11:30 AM 😊
177,#drive03212024 Fremont to San Francisco leaving 7AM
178,#drive04292025 DRIVE!! San Francisco ➜ Oakland 1:15 PM $22 pls
179,#drive03272025  DRIVE!!  Sunnyvale-Palo  Alto  8:40  AM  $10
180,#drive01212025 Need a drive Berkeley -> Fremont. Budget 😊
181,"Oakland -> San Francisco | 1PM | $12 | 1 seat
flexible time"
182,"#ride01112024 RIDE!! Sacramento-Fremont 3PM $30 🚗
comment below"
183,#ride08092025 RIDE!! San Jose-San Francisco 8AM $35
184,#ride04022024 Berkeley-Sacramento | 8AM | $10 | 1 seat thx
185,#drive07072025 Fremont ➜ Palo Alto | 8:10 PM | $18 | 1 seat
186,#ride09112024 RIDE!! Sacramento -> San Jose 9AM $22 pls
187,#drive12232024 Need a drive Sacramento ➜ Sunnyvale. Budget $30
188,RIDE!!  Sunnyvale  ➜  Davis  9:45  PM  22  dollars
189,#drive09032024 Berkeley-Sacramento | 8PM | 30 dollars | 1 seat
190,"#ride11162025 from Sunnyvale to Oakland $22 leaving 6AM
pm me"
191,"#ride04012024 Davis ➜ San Francisco $20 leaving 6:50 AM !!
comment below"
192,"#drive04262024 Oakland to Palo Alto $30 leaving 7AM
anyone?"
193,#drive11272024  Fremont  to  Sacramento  |  10PM  |  $35  |  1  seat
194,#drive02032024 Palo Alto to Oakland leaving 9:50 AM 🚗
195,#drive03292025 Need a drive from San Francisco to Fremont. Budget $12 pls
196,#drive12182025  DRIVE!!  Berkeley  ->  Sunnyvale  11AM  $30
197,#ride09222025 RIDE!! from SF to Berkeley 6:50 PM 12 dollars
198,#drive09102024 Berkeley ➜ Palo Alto $18 leaving 3PM 🚗
199,#ride08232024 Davis -> Oakland $12 leaving6 PM
200,#ride05112024 Fremont-Davis $12 leaving 6AM
201,#ride07202025 Palo Alto ➜ Davis | 6:30 AM | $22 | 1 seat
202,#ride05302024 Oakland ➜ Palo Alto | 1PM |  | 1 seat
203,#ride03082024  RIDE!!  San  Francisco  ➜  Palo  Alto  3:50  PM  $30  pls
204,#ride11012024 Need a ride Berkeley to San Jose. Budget $20-28
205,#drive06082025  DRIVE!!  from  San  Jose  to  Palo  Alto  1PM
206,#drive07222025 from SF to Sacramento $25-33 leaving 8:30 PM
207,"#ride08232024 #ride08252024 Oakland-Sunnyvale $20-25 leaving 9:45 PM
comment below"
208,#ride11112025 Fremont-Berkeley $30-35 leaving 5:15 PM thx
209,#ride08282025 San Jose ➜ Palo Alto | 11AM | $40 | 1 seat 😊
210,#drive04192024 DRIVE!! from Sunnyvale to Palo Alto 2:40 PM $35 🚗
211,#ride05302025 RIDE!! Sac ➜ Davis 3:00 PM $40
212,#drive02132025  Oakland  ➜  Fremont  $15-23  leaving  10:45  MA  pls
213,#ride09212025 Fremont -> San Jose | 6:30 PM | 30 dollars | 1 seat
214,#ride11222025 Davis ➜ Palo Alto $20-25 leaving 4:10 PM
215,RIDE!! Palo Alto t oSacramento 6AM $10 😊
216,#drive04232025 Davis to Palo Alto | 4:50 PM | $35 | 1 seat
217,"#ride08212024 Sunnyvale -> Davis  leaving 11:30 AM
pm me"
218,#ride07312024 RIDE!! Palo Alto ➜ Sacramento 7:20 PM 15 dollars
219,#ride11202025 Oakland-Sunnyvale | 3:00 PM | $30-35 | 1 seat 🚗
220,"#drive07232025 #drive07302025 DRIVE!! Palo Alto to San Jose 12PM $15 pls
pm me"
221,#ride01102024 Need a ride Oakland -> San Jose. Budget $40
222,#drive08162024 Oakalnd ➜ San Francisco $35 leaving 10:45 PM
223,"#drive07092024 San Jose -> San Francisco | 5PM | $12 | 1 seat
pm me"
224,#ride08162024 Fremont to Palo Alto | 10AM | $22 | 1 seat
225,#ride02212025 from Fremont to Davis | 1:00 PM |  | 1 seat
226,#ride03232024 Oakland -> Sacramento  leaving 12:10 PM thx
227,#ride04182025 RIDE!! Fremont-San Francisco 8:45 AM
228,#drive12152025  Palo  Alto-Oakland  |  5PM  |  $30-40  |  1  seat  😊
229,#rdive07152025 Fremont to Oakland $10 leaving 4PM
230,#ride06222024  RIDE!!  Sunnyvale  ➜  SJ  10:40  PM  $20-25
231,#ride11092025 RIDE!! Fremont ➜ Sunnyvale 9:30 PM $12-17
232,"Fremont to San Francisco | 3:45 PM | $20 | 1 seat !!
pm me"
233,#ride04252024 RIDE!! from Fremont to San Jose 6:10 AM $40
234,#ride10032024 Davis ➜ Fremont | 6:40 PM | $15-25 | 1 seat
235,#ride10032024 RIDE!! Oakland-San Francisco 8:00 AM thx
236,#ride06212024 RIDE!! Berkeley to Fremont 6PM $18 😊
237,#ride07012024 Fremont ➜ Berkeley 40 dollars leaving 10:45 AM
238,#ride05272024  San  Jose  to  Berkeley  |  7PM  |  $35-45  |  1  seat
239,#drive08172025 DRIVE!! Fremont to Oakland 7AM 😊
240,#drive04192024 DRIVE!! from San Francisco to Oakland 10PM $22-32 🚗
241,#ride01152024 Need a ride Sunnyvale -> Fremont. Budget $25
242,#drive10112025  DRIVE!!  Sunnyvale  ➜  Sacramento  7:10  PM
243,"#ride10202025  RIDE!!  Oakland-Davis  9AM  $10
flexible  time"
244,#drive02072025 DRIVE!! from Palo Alto to San Francisco 3:45 PM $25
245,#drive01132024 Need a drive Davis to Palo Alto. Budget $20-28
246,#ride05212025 RIDE!! Palo Alto to San Francisco 6:15 AM $12
247,"#drive03242025 Need a drive Palo Alto to Fremont. Budget $30 thx
flexible time"
248,#ride11072024 #ride11092024 Sunnyvale to Oakland $40-45 leaving 2:30 PM
249,"#drive07082024  Need  a  drive  Palo  Alto  ->  Sacramento.  Budget  $35
pm  me"
250,#ride11202025 from Palo Alto to Fremont | 12PM | $10-20 | 1 seat pls
251,#ride02072025 #ride02092025 Sunnyvale ➜ Oakland | 8:30 AM | 40 dollars | 1 seat
252,RIDE!! Fremont-Sunnyvale 7:15 PM3 5 dollars
253,#drive12172024 Oakland to SF | 9:20 PM | 25 dollars | 1 seat
254,#ride09112025  #ride09122025  Need  a  ride  from  Oakland  to  Davis.  Budget  $18
255,#ride10012025 #ride10042025 Need a ride Fremont to San Francisco. Budget $18
256,#drive03222025  from  San  Jose  to  Fremont  |  3PM  |    |  1  seat  thx
257,"#drive07112025 DRIVE!! Berkeley -> Sacramento 5PM $10-18
flexible time"
258,"#drive09162024 Davis to Berkeley | 9PM | $25 | 1 seat
pm me"
259,#drive01282025 Need a drive Sacramento-Berkeley. Budget $35
260,#ride04292025  #ride05062025  from  Oakland  to  San  Francisco  |  9:15  PM  |  $25  |  1  seat  pls
261,#drive06102025 DRIVE!! from Palo Alto to San Francisco 8AM $25-30
262,#drive04162024 Need a drive Palo Alto-Oakland. Budget $18
263,#ride09122025 #ride09412025 San Francisco to Sacramento $15 leaving 6:10 AM
264,#ride04232025 Davis to Oakland | 10AM | $22-32 | 1 seat pm me
265,#ride01142024  Need  a  ride  Sunnyvale  ->  SJ.  Budget  $40-45
266,#ride10302024  from  SF  to  Palo  Alto  |  10:45  PM  |  $22  |  1  seat  🚗
267,RIDE!! San Francisco-Davis 9PM 40 dollars
268,#ride10142025  Palo  Alto  to  Berkeley  |  8:40  AM  |  $12  |  1  seat
269,#drive12252025 Oakland -> San Frnacisco $25 leaving 1:45 PM
270,#ride03282024 Need a ride Palo Alto to Sunnyvale. Budget $35 🚗
271,#drive11212025 DRIVE!! Oakland ➜ Palo Alto 8:50 AM
272,#drive04102025  DRIVE!!  Oakland  ->  Berkeley  7PM  $25
273,#ride08052025 RIDE!! Sunnyvale to Sacramento 12:50 PM 20 dollars
274,#drive02112025 from Berkeley to Oakland | 7PM | $25 | 1 seat
275,#ride09302025 Need a ride from Oakland to Davis. Budget $15
276,#ride10302024 Need a ride Sacramento-Fremont. Budget $25
277,#ride01072024 #ride01142024 RIDE!! Oakland-San Jose 8:40 AM
278,#ride10152024 RIDE!! Sacramento-Sunnyvale 6AM $35
279,#ride02222025 #ride02232025 Sunnyvale -> Palo Alto | 9AM | $35 | 1 seat
280,#ride05112025 Oakland to Berkeley | 9AM | $18 | 1 seat
281,#drive07162025 Sacramento -> Oakland | 5PM | $20 | 1 seat
282,#drive04112024 DRIVE!! from Oakland to Fremont 3PM $30
283,Fremont-Oakland | 11:10 AM | $202-8 | 1 seat
284,#drive11092024 Oakland -> San Jose | 7:00 AM | $22 | 1 seat
285,#drive07042024 #drive07112024 Palo Alto-Davis $10 leaving 3:00 PM 🚗
286,#ride03062024 Fremont to Sunnyvale $10 leaving 9AM
287,#drive06062025 Need a drive San Francisco -> San Jose. Budget $25
288,#drive07302025 Need a drive from Sunnyvale to Berkeley. Budget $10-18 🚗
289,Need a ride Fremont -> San Francisco. Budget $12
290,#drive07052024 Sunnyvale -> San Jose | 7:50 PM | $15-20 | 1 seat
291,#drive07142025 DRIVE!! Oakland-Palo Alto 5:00 PM $40
292,"#ride08052024 Fremont-Oakland | 10:50 AM | $40 | 1 seat
anyone?"
293,#ride03042025 SJ-Davis | 5PM | $12 | 1 seat 😊
294,#ride06302025 RIDE! !San Jose-Fremont 11AM $15 pls
295,#ride07262024 Fremont to San Jose | 12:00 PM | $35 | 1 seat
296,"#drive01282025 Fremont-Sunnyvale  leaving 5:00 PM
anyone?"
297,#drive04212025 from Berkeley to Sunnyvale $18-28 leaving 7AM
298,#drive08152024  Oakland  ➜  Sacramento  20  dollars  leaving  6:10  PM
299,#ride10262025 RIDE!! Fremont-Oakland 12PM $22-32
300,#ride05132024 Davis ➜ Oakland | 8:40 AM | $15 | 1 seat 😊
301,#drive02132024 Berkeley to Davis | 9PM | $18 | 1 seat
302,"#ride10202025  from  San  Jose  to  Sacramento  |  7:15  PM  |  30  dollars  |  1  seat
pm  me"
303,"#drive06032025 Need a drive San Jose -> Sunnyvale. Budget 25 dollars
pm me"
304,#ride06302025 from Davis to Palo Alto $25 leaving 6PM
305,#drive07162024 Need a drive from Fremont to Palo Alto. Budget
306,#drive02062024 from Sunnyvale to Sacramento | 4PM | $30 | 1 seat 🚗
307,"#ride12152024 Oakland to San Francisco  leaving 9:30 PM
pm me"
308,#ride03112024 RIDE!! Davis to Sacramento 9PM $18
309,#ride07262025 Need a ride from Palo Alto to Sacramento. Budget $12 pls
310,#ride04052025 RIDE!! Palo Alto to San Francisco 10AM $40
311,#ride05222024 RIDE!! from Sacramento to Berkeley 10:10 PM $20
312,"#drive07272024 Need a drive Sacramento -> Sunnyvale. Budget
pm me"
313,#ride05162024 Need a ride Sunnyvale -> Sacramento. Budget
314,#ride04212025  #ride04242025  RIDE!!  from  Palo  Alto  to  SJ  10PM
315,DRIVE!! from Berkeley to Fremont 8PM $22 🚗
316,#drive11182024  DRIVE!!  Oakland  to  Fremont  1PM
317,#drive03212024 DRIVE!! Fremont to Palo Alto 7:40 PM $18 🚗
318,#ride11292025 RIDE!! Sunnyvale-Sacramento 4:20 PM 30 dollars
319,#ride07202024 Berkeley ➜ San Jose | 7:40 AM | $12 | 1 seat
320,#ride01152024 Davis -> Pal oAlto | 8:40 PM | $40 | 1 seat 🚗
321,#drive08102025  from  Davis  to  Berkeley  |  5PM  |  $12  |  1  seat
322,#drive02072025  from  San  Jose  to  Sunnyvale  |  10:50  PM  |  $30  |  1  seat
323,#ride05022025  RIDE!!  Sacramento  ->  Sunnyvale  8PM  $15
324,"#drive03162025  DRIVE!!  Palo  Alto  to  Sunnyvale  3PM  $22-30
pm  me"
325,#drive11052025 Need a drive from Palo Alto to Sunnyvale. Budget $18 🚗
326,Need a ride Oakland ➜ San Jose. Budget $22
327,"#drive09162024 San Jose ➜ Sunnyvale $22 leaving 5:40 PM
pm me"
328,"#ride09152025 Sac -> San Jose $12-22 leaving 10:40 AM
comment below"
329,#drive11182024  DRIVE!!  from  San  Francisco  to  Oakland  9:10  PM  $40-45
330,#ride11072024 Sacramento to Davis $35 leaving 6:40 PM
331,#ride10312025 Sac to Sunnyvale $22 leaving 5:50 PM
332,"#ride11262025  Oakland  to  Fremont  $35  leaving  3PM
pm  me"
333,"#ride04272024 Need a ride San Jose ➜ Fremont. Budget $12
aynone?"
334,#drive03202024 Need a drive San Jose to Palo Alto. Budget $25 thx
335,#drive01242025 Need a drive Oakland ➜ Berkeley. Budget $12
336,#ride07032025 Need a ride Berkeley ➜ Palo Alto. Budget $22
337,#ride06142025 Need a ride San Francisco -> Berkeley. Budget
338,#ride05172025 Need a ride Berkeley to Fremont. Budget 15 dollars 😊
339,#ride05232025  Palo  Alto  to  Berkeley  |  6AM  |  $35  |  1  seat
340,Need a ride Berkeley to SF. Budget $40
341,#ride06252025 RIDE!! Davis -> San Jose 8AM
342,Need a ride Oakland to Sacramento. Budget $12
343,#drive04092024 Fremont -> Palo Alto $12 leaving 7:15 AM
344,#drive08022024 DRIVE!! from San Francisco to San Jose 12PM $30
345,#ride05182025 RIDE!! San Jose -> Fremont 8PM $15-23
346,#drive12192024  San  Francisco-Berkeley  $15  leaving  8:00  PM  thx
347,"#drive03192024 DRIVE!! Oakland -> Fremont 7PM
flexible time"
348,#ride08182024 Palo Alto ➜ Sunnyvale | 8:00 PM | $20 | 1 seat
349,#drive07062024 Need a drive Sunnyvale ➜ San Francisco. Budget $12
350,"#drive01062025 DRIVE!! Fremont ➜ Davis 9PM 🚗
anyone?"
351,"#ride02032024  Need  a  ride  San  Francisco  to  Sunnyvale.  Budget  $40
flexible  time"
352,#ride08032024 from San Francisco to Fremont $12-22 leaving 6:30 PM 😊
353,#ride08132025 Need a ride from Berkeley to Oakland. Budget 35 dollars
354,#drive11222024  Need  a  drive  from  Fremont  to  Palo  Alto.  Budget  $15
355,#ride01262025 from Sacramento to Sunnyvale | 8:20 AM | $30 | 1 seat
356,#drive12212024 Need a drive SJ to Berkeley. Budget $30-35
357,#ride02282024 Davis -> Sunnyvale | 4:10 PM | $30 | 1 seat
358,#ride11242025 San Jose to Davis | 8:00 AM | $30 | 1 seat
359,#ride02022024 Sunnyvale-San Jose $10 leaving 12:20 PM pls
360,#drive07312024 DRIVE!! Sunnyvale to Davis 4PM $10
361,#ride12212025 RIDE!! Davis-Palo Alto 3:00 PM 25 dollars
362,Need  a  ride  SJ  to  Sunnyvale.  Budget  $25  😊
363,#ride07222025 from Fremont to SJ $18 leaving 12PM
364,#drive02192024 DRIVE!! from Sunnyvale to Palo Alto 10AM $22 anyone?
365,#ride07022025 #ride07092025 RIDE!! from Palo Alto to SF 7PM $22
366,Palo Alto ➜ Davis | 9PM | $20-28 | 1 seat 😊
367,"#drive04242024 Sacramento ➜ San Jose $15 leaving 2PM
comment below"
368,DRIVE!! from Berkeley to SJ 2PM $25
