post_id,post_text,content,index,timeofposting,rideordrive,dateofride,weekdayofride,price,location,destination
,,"#drive06092024 Sacramento -> Fremont | 2:00 PM | $22 | 1 seat !!
comment below",25,,0,2024-06-09,Sunday,22,#drive06092024 Sacramento,Fremont
,,#ride11262025 Sacramento ➜ Fremont $15 leaving 2PM 😊,26,,1,2025-11-26,Wednesday,0,#ride11262025 Sacramento,Fremont
,,#drive04102025 SJ ➜ Davis | 6:50 PM | $22 | 1 seat thx,27,,0,2025-04-10,Thursday,22,#drive04102025 SJ,Davis
,,#ride01292024 Davis -> Sacramento $20 leaving 5:10 PM 😊,28,,1,2024-01-29,Monday,0,#ride01292024 Davis,Sacramento
,,#drive11172024 #drive11202024 DRIVE!! Oakland-Davis 6PM $18-23,29,,0,2024-11-17,Sunday,20,#drive11172024 #drive11202024 DRIVE!! Oakland,Davis
,,#drive05052025 Need a drive San Francisco -> Fremont. Budget $18,30,,0,2025-05-05,Monday,18,#drive05052025 Need a drive San Francisco,Fremont
,,#dirve07102024  DRIVE!!  San  Francisco  to  Fremont  1:15  PM  $25-33,31,,,,,0,#dirve07102024 DRIVE!! San Francisco,Fremont
,,#drive12262024 Berkeley -> Oakland | 9AM | $15 | 1 seat,32,,0,2024-12-26,Thursday,15,#drive12262024 Berkeley,Oakland
,,#ride08132025 from Fremontt o Oakland $22 leaving 8:20 PM,33,,1,2025-08-13,Wednesday,0,,
,,#ride07072025 Palo Alto-San Jose | 1PM | $10 | 1 seat pls,34,,1,2025-07-07,Monday,0,#ride07072025 Palo Alto,San Jose
,,#drive08012025 Sacramento to San Francisco $22 leaving 10PM pls,35,,0,2025-08-01,Friday,22,#drive08012025 Sacramento,San Francisco
,,#ride08252024 San Francisco ➜ Berkeley | 10:10 PM | $25-30 | 1 seat !!,36,,1,2024-08-25,Sunday,0,#ride08252024 San Francisco,Berkeley
,,#drive04262025  #drive04272025  DRIVE!!  Fremont  ->  Palo  Alto  7:40  AM  $22,37,,0,2025-04-26,Saturday,22,#drive04262025 #drive04272025 DRIVE!! Fremont,Palo
,,from  San  Jose  to  Berkeley  $30  leaving  6AM,38,,,,,0,San Jose,Berkeley
,,#ride04022025 Need a ride Berkeley -> San Francisco. Budget $35,39,,1,2025-04-02,Wednesday,0,#ride04022025 Need a ride Berkeley,San Francisco
,,#ride07042025 from Sunnyvale to Oakland | 2:30 PM | 22 dollars | 1 seat,40,,1,2025-07-04,Friday,0,Sunnyvale,Oakland
,,#ride05212025 #ride05282025 Oakland ➜ SF $12-20 leaving 5PM,41,,1,2025-05-21,Wednesday,0,#ride05212025 #ride05282025 Oakland,San Francisco
,,#ride06052024 RIDE!! from Palo Alto to Fremont 9:15 AM $18 pls,42,,1,2024-06-05,Wednesday,0,Palo Alto,Fremont
,,#drive11262024  Sunnyvale  ➜  San  Francisco  $20  leaving  7:20  PM,43,,0,2024-11-26,Tuesday,20,#drive11262024 Sunnyvale,San
,,"#drive12142024 #drive12172024 San Francisco to Fremont  leaving 4:10 PM
anyone?",44,,0,2024-12-14,Saturday,0,#drive12142024 #drive12172024 San Francisco,Fremont
,,#ride05022025 Fremont ➜ Oakland | 6AM | $22 | 1 seat,45,,1,2025-05-02,Friday,0,#ride05022025 Fremont,Oakland
,,#drive02282024 from San Francisco to San Jose  leaving 2:50 PM thx,46,,0,2024-02-28,Wednesday,0,San Francisco,San Jose
,,#ride12012024  Sunnyvale  to  Fremont  |  11AM  |  $15  |  1  seat,47,,1,2024-12-01,Sunday,0,#ride12012024 Sunnyvale,Fremont
,,#drive08232024 DRIVE!! Oakland-Palo Alto 8AM,48,,0,2024-08-23,Friday,0,#drive08232024 DRIVE!! Oakland,Palo
,,#drive01162024D RIVE!! Sunnyvale -> San Jose 6AM $10,49,,0,2024-01-16,Tuesday,10,#drive01162024D RIVE!! Sunnyvale,San Jose
,,#drive07132024 Oakland ➜ San Jose $12 leaving 10:45 PM,50,,0,2024-07-13,Saturday,12,#drive07132024 Oakland,San Jose
,,#drive03212025 SF ➜ Sunnyvale | 5:50 PM | $18 | 1 seat,51,,0,2025-03-21,Friday,18,#drive03212025 SF,Sunnyvale
,,#drive04012024  Davis  ->  Sunnyvale  $10  leaving  11AM,52,,0,2024-04-01,Monday,10,#drive04012024 Davis,Sunnyvale
,,#drive04082024 DRIVE!! Oakland-San Jose 10:30 AM $18,53,,0,2024-04-08,Monday,18,#drive04082024 DRIVE!! Oakland,San Jose
,,"#drive12072025 Davis ➜ Sunnyvale $15-20 leaving 1:000 AM
flexible time",54,,0,2025-12-07,Sunday,18,#drive12072025 Davis,Sunnyvale
,,#drive09022025 from Fremont to Sacramento | 9PM | 30 dollars | 1 seat,55,,0,2025-09-02,Tuesday,30,Fremont,Sacramento
,,#ride10052024 Need a ride Sacramento ➜ Oakland. Budget $35,56,,1,2024-10-05,Saturday,0,#ride10052024 Need a ride Sacramento,Oakland
,,#drive04022024 Fremont to Berkeley | 4:50 PM | $30 | 1 seat pls,57,,0,2024-04-02,Tuesday,30,#drive04022024 Fremont,Berkeley
,,#drive04262024 Palo Alto ➜ San Jose | 3PM | 40 dollars | 1 seat,58,,0,2024-04-26,Friday,40,#drive04262024 Palo Alto,San Jose
,,#ride09232025 Berkeley to Palo Alto $22 leaving 8:40 AM,59,,1,2025-09-23,Tuesday,0,#ride09232025 Berkeley,Palo
,,#ride06272024 from San Jose to Fremont | 2:15 PM | $10 | 1 seat 🚗,60,,1,2024-06-27,Thursday,0,San Jose,Fremont
,,"#drive01152024 #drive01222024 Need a drive San Francisco -> Sunnyvale. Budget 40 dollars thx
pm me",61,,0,2024-01-15,Monday,40,#drive01152024 #drive01222024 Need a drive San Francisco,Sunnyvale
,,#drive09132024 #drive09202024 DRIVE!! Sunnyvale-San Jose 12PM $15,62,,0,2024-09-13,Friday,15,#drive09132024 #drive09202024 DRIVE!! Sunnyvale,San Jose
,,#ride02092024 Need a ride Sacramento -> Palo Alto. Budget $10,63,,1,2024-02-09,Friday,0,#ride02092024 Need a ride Sacramento,Palo
,,"#drive06232024 Sac -> Sunnyvale $15 leaving 1:00 PM
flexible time",64,,0,2024-06-23,Sunday,15,#drive06232024 Sac,Sunnyvale
,,#drive02012025  San  Francisco-Sunnyvale  |  3PM  |  $12  |  1  seat,65,,0,2025-02-01,Saturday,12,#drive02012025 San Francisco,Sunnyvale
,,#ride11192025 RIDE!! Sacramento ➜ San Francisco 9AM $12-22,66,,1,2025-11-19,Wednesday,0,#ride11192025 RIDE!! Sacramento,San Francisco
,,#drive10192024 Need a drive from Sunnyvale to Davis. Budget $25,67,,0,2024-10-19,Saturday,25,Sunnyvale,Davis
,,#ride01282024 Sacramento -> Oakland $10 leaving 9:40 PM pls,68,,1,2024-01-28,Sunday,0,#ride01282024 Sacramento,Oakland
,,DRIVE!! from Sacramento to San Francisco 1PM $18,69,,,,,0,Sacramento,San Francisco
,,#ride01052025 RIDE!! Fremont-Berkeley 9AM $10-18,70,,1,2025-01-05,Sunday,0,#ride01052025 RIDE!! Fremont,Berkeley
,,#ride03152025 Need a ride Sunnyvale to San Francisco. Budget,71,,1,2025-03-15,Saturday,0,#ride03152025 Need a ride Sunnyvale,San Francisco
,,#ride10222024  RIDE!!  SF  to  San  Jose  10:10  PM,72,,1,2024-10-22,Tuesday,0,#ride10222024 RIDE!! SF,San
,,#drive02282024 Sacramento ➜ Berkeley $20 leaving 7AM,73,,0,2024-02-28,Wednesday,20,#drive02282024 Sacramento,Berkeley
,,#drive03292025 from Davis to Berkeley $22-30 leaving 7PM !!,74,,0,2025-03-29,Saturday,26,Davis,Berkeley
,,Berkeley ➜ Davis | 10AM | $10 | 1 seat,75,,,,,0,Berkeley,Davis
,,#drive01112024 DRIVE!! Oakland ➜ Davis 7:15 PM $40-50,76,,0,2024-01-11,Thursday,45,#drive01112024 DRIVE!! Oakland,Davis
,,#ride02072025 Need a ride Oakland -> Davis. Budget $20,77,,1,2025-02-07,Friday,0,#ride02072025 Need a ride Oakland,Davis
,,#ride01022024 RIDE!! from Sacramento to Palo Alto 10:30 AM,78,,1,2024-01-02,Tuesday,0,Sacramento,Palo
,,#drive03302025 Need a drive Palo Alto to Oakland. Budget $10,79,,0,2025-03-30,Sunday,10,#drive03302025 Need a drive Palo Alto,Oakland
,,#ride05182025 RIDE!! from Sunnyvale to Oakland 8AM,80,,1,2025-05-18,Sunday,0,Sunnyvale,Oakland
,,#ride08052025 RIDE!! Davis-San Francisco 2:15 PM $35,81,,1,2025-08-05,Tuesday,0,#ride08052025 RIDE!! Davis,San Francisco
,,"#ride09152024  RIDE!!  Palo  Alto  ->  Berkeley  6:50  PM  15  dollars
pm  me",82,,1,2024-09-15,Sunday,0,#ride09152024 RIDE!! Palo Alto,Berkeley
,,#drive11202024 Need a drive from Oakland to SJ. Budget,83,,0,2024-11-20,Wednesday,0,Oakland,San Jose
,,#drive05082024 Berkeley ➜ Palo Alto $25 leaving 7:15 PM !!,84,,0,2024-05-08,Wednesday,25,#drive05082024 Berkeley,Palo
,,#drive10132024  San  Francisco  ➜  Sac  |  10:20  PM  |  $25-30  |  1  seat  🚗,85,,0,2024-10-13,Sunday,28,#drive10132024 San Francisco,Sacramento
,,#drive11302025 Sac -> Oakladn $18 leaving 3PM,86,,0,2025-11-30,Sunday,18,#drive11302025 Sac,Oakladn
,,#drive11262025  #drive11272025  Need  a  drive  Sunnyvale  ➜  San  Jose.  Budget  $10,87,,0,2025-11-26,Wednesday,10,#drive11262025 #drive11272025 Need a drive Sunnyvale,San
,,#drive08192024 Davis ➜ Berkeley | 8PM | $20-30 | 1 seat 🚗,88,,0,2024-08-19,Monday,25,#drive08192024 Davis,Berkeley
,,#drive03042024 Davis ➜ Fremont $15 leaving 11:40 AM,89,,0,2024-03-04,Monday,15,#drive03042024 Davis,Fremont
,,#drive04102024 San Francisco-SF | 9PM |  | 1 seat pls,90,,0,2024-04-10,Wednesday,0,#drive04102024 San Francisco,San Francisco
,,Need a drive Oakland ➜ San Jose. Budget 12 dollars 🚗,91,,,,,0,Need a drive Oakland,San Jose
,,#drive04232024 Oakland ➜ Fremont  leaving 2:50 PM,92,,0,2024-04-23,Tuesday,0,#drive04232024 Oakland,Fremont
,,#ride12092024 Fremont to Davis $25 leaving 4PM,93,,1,2024-12-09,Monday,0,#ride12092024 Fremont,Davis
,,#ride05292025 #ride05312025 Need a ride from Oakland to San Francisco. Budget $22-27,94,,1,2025-05-29,Thursday,0,Oakland,San Francisco
,,#drive02122024  Palo  Alto-Berkeley  $30  leaving  1A0M,95,,0,2024-02-12,Monday,30,#drive02122024 Palo Alto,Berkeley
,,"#drive09212025 Berkeley to Palo Alto | 6:20 PM | $22-30 |  1seat
anyone?",96,,0,2025-09-21,Sunday,26,#drive09212025 Berkeley,Palo
,,#drive09212025  Davis  ->  Oakland  $25  leaving  8:20  AM,97,,0,2025-09-21,Sunday,25,#drive09212025 Davis,Oakland
,,#drive02192025 DRIVE!! Fremont-Sunnyvale 10:40 AM $22-27 thx,98,,0,2025-02-19,Wednesday,24,#drive02192025 DRIVE!! Fremont,Sunnyvale
,,#ride10282025 San Jose to Oakland | 12PM | 22 dollars | 1 seat,99,,1,2025-10-28,Tuesday,0,#ride10282025 San Jose,Oakland
,,#drive10112025 Need a drive Fremont to Davis. Budget $40,100,,0,2025-10-11,Saturday,40,#drive10112025 Need a drive Fremont,Davis
,,Need a drive from Fremont to Palo Alto. Budget $18,101,,,,,0,Fremont,Palo
,,#drive03132024  Need  a  drive  from  Oakland  to  Davis.  Budget  $15,102,,0,2024-03-13,Wednesday,15,Oakland,Davis
,,#drive05312025 DRIVE!! Berkeley to Palo Alto 7:50 AM $15 thx,103,,0,2025-05-31,Saturday,15,#drive05312025 DRIVE!! Berkeley,Palo
,,#ride09192024 Davis -> San Francisco | 8AM | $30 | 1 seat,104,,1,2024-09-19,Thursday,0,#ride09192024 Davis,San Francisco
,,#drive03102024 from Sunnyvale to Oakland $18 leaving 6AM,105,,0,2024-03-10,Sunday,18,Sunnyvale,Oakland
,,#drive01072025 Need a drive from Berkeley to Fremont. Budget $12,106,,0,2025-01-07,Tuesday,12,Berkeley,Fremont
,,#drive08312024 San Jose ➜ Oakland | 10PM | $35 | 1 seat,107,,0,2024-08-31,Saturday,35,#drive08312024 San Jose,Oakland
,,#drive06092024  Need  a  drive  Berkeley  ➜  Sunnyvale.  Budget  $18-26,108,,0,2024-06-09,Sunday,22,#drive06092024 Need a drive Berkeley,Sunnyvale
,,#ride04112024 Davis-Fremont | 9PM | 25 dollars | 1 seat,109,,1,2024-04-11,Thursday,0,#ride04112024 Davis,Fremont
,,"#drive04302025 from Berkeley to Fremont | 10:40 AM | $35 | 1 seat thx
flexible time",110,,0,2025-04-30,Wednesday,35,Berkeley,Fremont
,,#driev09222025 Sacramento ➜ San Jose 15 dollars leaving 6:10 AM,111,,,,,0,#driev09222025 Sacramento,San Jose
,,#ride02272024 RIDE!! Sacramento-Davis 10AM $20-30 🚗,112,,1,2024-02-27,Tuesday,0,#ride02272024 RIDE!! Sacramento,Davis
,,#drive01222024  Sunnyvale  to  Palo  Alto  $22  leaving  4PM,113,,0,2024-01-22,Monday,22,#drive01222024 Sunnyvale,Palo
,,#ride09272024 Berkeley ➜ San Jose | 10:00 AM | $12 | 1 seat,114,,1,2024-09-27,Friday,0,#ride09272024 Berkeley,San Jose
,,#drive07182025 Sunnyvale-Fremont | 6PM | $25 | 1 seat,115,,0,2025-07-18,Friday,25,#drive07182025 Sunnyvale,Fremont
,,#ride03172025 RIDE!! Sacramento ➜ Davis 9A M$25,116,,1,2025-03-17,Monday,0,#ride03172025 RIDE!! Sacramento,Davis
,,#ride07302025 #ride08062025 Need a ride Sacramento -> Okaland. Budget $25-30 🚗,117,,1,2025-07-30,Wednesday,0,#ride07302025 #ride08062025 Need a ride Sacramento,Okaland
,,Need  a  drive  Berkeley  ->  San  Jose.  Budget  $30-38  comment  below,118,,,,,0,Need a drive Berkeley,San
,,#ride01122024 Palo Alto -> San Francisco | 1PM | $18-23 | 1 seat,119,,1,2024-01-12,Friday,0,#ride01122024 Palo Alto,San Francisco
,,DRIVE!! from Palo Alto to Berkeley 6:50 PM $10,120,,,,,0,Palo Alto,Berkeley
,,"#drive04102024 Need a drive Berkeley-Sacramento. Budget $18
flexible time",121,,0,2024-04-10,Wednesday,18,#drive04102024 Need a drive Berkeley,Sacramento
,,#drive09022025 from Palo Alto to Berkeley | 7:00 PM |  | 1 seat,122,,0,2025-09-02,Tuesday,0,Palo Alto,Berkeley
,,#drive05112025 Oakland ➜ San Francisco $20-30 leaving 1PM,123,,0,2025-05-11,Sunday,25,#drive05112025 Oakland,San Francisco
,,#ride01152025 RIDE!! San Francisco to Sunnyvale 10PM $35,124,,1,2025-01-15,Wednesday,0,#ride01152025 RIDE!! San Francisco,Sunnyvale
,,#ride07112025 RIDE!! from San Jose to Sacramento 8:00 AM $30,125,,1,2025-07-11,Friday,0,San Jose,Sacramento
,,"#ride10142024 Oakland ➜ SF $15 leaving 9PM
anyone?",126,,1,2024-10-14,Monday,0,#ride10142024 Oakland,San Francisco
,,#drive07242024 San Jose to Palo Alto | 10AM | $30 | 1 seat thx,127,,0,2024-07-24,Wednesday,30,#drive07242024 San Jose,Palo
,,#drive10162024 from Fremont to Davis | 6:30 AM | $22 | 1 seat,128,,0,2024-10-16,Wednesday,22,Fremont,Davis
,,#ride07122025 RIDE!! from Sunnyvale to Berkeley 7:40 AM $12-22,129,,1,2025-07-12,Saturday,0,Sunnyvale,Berkeley
,,#ride01072025 San Jose to Oakland | 7:50 AM | |  1 seat,130,,1,2025-01-07,Tuesday,0,#ride01072025 San Jose,Oakland
,,#drive12302025 San Francisco -> Fremont | 7PM | $10 | 1 seat thx,131,,0,2025-12-30,Tuesday,10,#drive12302025 San Francisco,Fremont
,,#ride11262024 RIDE!! from Palo Alto to Davis 1PM $30,132,,1,2024-11-26,Tuesday,0,Palo Alto,Davis
,,#ride07102025 from Oakland to San Francisco 25 dollars leaving 2:30 PM 🚗,133,,1,2025-07-10,Thursday,0,Oakland,San Francisco
,,#drive03032024 Oakland ➜ Sacramento | 1PM | $40 | 1 seat,134,,0,2024-03-03,Sunday,40,#drive03032024 Oakland,Sacramento
,,#drive05212024 Need a drive Fremont-San Francisco. Budget $22 😊,135,,0,2024-05-21,Tuesday,22,#drive05212024 Need a drive Fremont,San Francisco
,,#drive12022024 Need a drive Davis ➜ Sacramento. Budget $30,136,,0,2024-12-02,Monday,30,#drive12022024 Need a drive Davis,Sacramento
,,#ride02132025 San Francisco -> Palo Alto | 1PM | $15 | 1 seat,137,,1,2025-02-13,Thursday,0,#ride02132025 San Francisco,Palo
,,#drive09202024 Fremont -> Sunnyvale | 9:00 AM | $35 | 1 seat,138,,0,2024-09-20,Friday,35,#drive09202024 Fremont,Sunnyvale
,,#drive04052024 from San Jose to Sunnyvale | 7AM | $20-30 | 1 seat 🚗,139,,0,2024-04-05,Friday,25,San Jose,Sunnyvale
,,#drive10022024 Need a drive San Jose to Sacramento. Budget 10 dollars,140,,0,2024-10-02,Wednesday,10,#drive10022024 Need a drive San Jose,Sacramento
,,"Fremont to Berkeley $35 leaving 4:40 PM 😊
pm me",141,,,,,0,Fremont,Berkeley
,,#ride02062025 Need a ride Fremont -> San Jose. Budget $30,142,,1,2025-02-06,Thursday,0,#ride02062025 Need a ride Fremont,San Jose
,,#drive03222025 DRIVE!! from Fremont to Sunnyvale 9AM $12 anyone?,143,,0,2025-03-22,Saturday,12,Fremont,Sunnyvale
,,#ride04052024 RIDE!! San Francisco -> Fremont 6AM,144,,1,2024-04-05,Friday,0,#ride04052024 RIDE!! San Francisco,Fremont
,,San Jose ➜ Davis | 9:00 PM | $12 | 1 seat,145,,,,,0,San Jose,Davis
,,#drive01252025 #drive02012025 Need a drive Fremont to Sac. Budget 30 dollars,146,,0,2025-01-25,Saturday,30,#drive01252025 #drive02012025 Need a drive Fremont,Sacramento
,,#ride08032024 San Jose-Davis $12-20 leaving 3:45 PM,147,,1,2024-08-03,Saturday,0,#ride08032024 San Jose,Davis
,,#drive02062024 #drive02132024 from Oakland to Sacramento | 6PM | $18-26 | 1 seat,148,,0,2024-02-06,Tuesday,22,Oakland,Sacramento
,,#drive07282024 Need a drive Palo Alto -> Sacramento. Budget $35,149,,0,2024-07-28,Sunday,35,#drive07282024 Need a drive Palo Alto,Sacramento
,,#ride02072024 #ride02102024 Sacramento-San Jose | 8:00 PM | $25 | 1 seat,150,,1,2024-02-07,Wednesday,0,#ride02072024 #ride02102024 Sacramento,San Jose
,,#drive04012024 Sunnyvale-Oakland $25-33 leaving 9AM thx,151,,0,2024-04-01,Monday,29,#drive04012024 Sunnyvale,Oakland
,,#drive08222025 from Oakland to Berkeley | 9:20 PM | $12 | 1 seat,152,,0,2025-08-22,Friday,12,Oakland,Berkeley
,,#drive04202024 San Jose-Sacramento | 10:50 AM | $30 | 1 seta,153,,0,2024-04-20,Saturday,30,#drive04202024 San Jose,Sacramento
,,#ride08282025 RIDE!! Oakland -> Davis 7AM $15,154,,1,2025-08-28,Thursday,0,#ride08282025 RIDE!! Oakland,Davis
,,#drive01302024 DRIVE!! from Palo Alto to Fremont 10:15 AM $30-40 🚗,155,,0,2024-01-30,Tuesday,35,Palo Alto,Fremont
,,RIDE!! Sacramento to Palo Alto 8PM $20-28 !!,156,,,,,0,RIDE!! Sacramento,Palo
,,Need a drive Sacramento ➜ Palo Alto. Budget $20,157,,,,,0,Need a drive Sacramento,Palo
,,#ride01272025 Need a ride Fremont to Palo Alto. Budget $10-18,158,,1,2025-01-27,Monday,0,#ride01272025 Need a ride Fremont,Palo
,,DRIVE!! from Sunnyvale to Oakland 1:40 PM $30,159,,,,,0,Sunnyvale,Oakland
,,#ride01052025  RIDE!!  Fremont  ➜  Davis  4:00  PM,160,,1,2025-01-05,Sunday,0,#ride01052025 RIDE!! Fremont,Davis
,,#ride06292025 RIDE!! San Francisco ➜ San Jose 9:30 PM $15 !!,161,,1,2025-06-29,Sunday,0,#ride06292025 RIDE!! San Francisco,San Jose
,,#ride10192025 #ride10202025 from San Francisco to Sacramento $22 leaving 9PM,162,,1,2025-10-19,Sunday,0,San Francisco,Sacramento
,,#ride05132025 RIDE!! Palo Alto-Berkeley 8PM $18,163,,1,2025-05-13,Tuesday,0,#ride05132025 RIDE!! Palo Alto,Berkeley
,,#drive04152024 Need a drive Fremont ➜ Palo Alto. Budget $10,164,,0,2024-04-15,Monday,10,#drive04152024 Need a drive Fremont,Palo
,,#drive01132024 from Berkeley to Sunnyvale | 2:40 PM | | 1 seat,165,,0,2024-01-13,Saturday,0,Berkeley,Sunnyvale
,,#ride01302025 from Davis to Berkeley | 3PM | $10-20 | 1 seat,166,,1,2025-01-30,Thursday,0,Davis,Berkeley
,,#ride09122024  from  Berkeley  to  Sunnyvale  $35  leaving  12:15  PM  thx,167,,1,2024-09-12,Thursday,0,Berkeley,Sunnyvale
,,#drive08032025 Need a drive Berkeley to Fremont. Budget $22,168,,0,2025-08-03,Sunday,22,#drive08032025 Need a drive Berkeley,Fremont
,,"#ride02032024 #ride02102024 RIDE!! Palo Alto to Oakland 2:40 PM 15 dollars
anyone?",169,,1,2024-02-03,Saturday,0,#ride02032024 #ride02102024 RIDE!! Palo Alto,Oakland
,,#ride12132025  RIDE!!  Sacramento  ➜  Berkeley  4PM  $15  😊,170,,1,2025-12-13,Saturday,0,#ride12132025 RIDE!! Sacramento,Berkeley
,,#drive08192025 from Palo Alto to Davis $35 leaving 9:00 AM,171,,0,2025-08-19,Tuesday,35,Palo Alto,Davis
,,#drive10232024  DRIVE!!  Berkeley-Sacramento  6:15  PM  $35,172,,0,2024-10-23,Wednesday,35,#drive10232024 DRIVE!! Berkeley,Sacramento
,,"#ride11112024  Need  a  ride  SJ  ➜  San  Jose.  Budget  $25
anyone?",173,,1,2024-11-11,Monday,0,#ride11112024 Need a ride SJ,San
,,#drive08082025 DRIVE!! Davis-San Jose 10:20 AM $25,174,,0,2025-08-08,Friday,25,#drive08082025 DRIVE!! Davis,San Jose
,,#drive08282024  from  San  Jose  to  Sacramento  $40  leaving  6:40  AM  pls,175,,0,2024-08-28,Wednesday,40,San Jose,Sacramento
,,#drive11192025 DRIVE!! San Francisco ➜ Davis 8:20 AM $25,176,,0,2025-11-19,Wednesday,25,#drive11192025 DRIVE!! San Francisco,Davis
,,#ride09252025 #ride10022025 Need a ride Oakland -> Sna Jose. Budget 25 dollars,177,,1,2025-09-25,Thursday,0,#ride09252025 #ride10022025 Need a ride Oakland,Sna
,,#drive12242025 Need a drive Sunnyvale to Oakland. Budget $35,178,,0,2025-12-24,Wednesday,35,#drive12242025 Need a drive Sunnyvale,Oakland
,,#drive05142024  DRIVE!!  San  Jose  ->  Sacramento  10PM  $40-45,179,,0,2024-05-14,Tuesday,42,#drive05142024 DRIVE!! San Jose,Sacramento
,,#drive09102025 Berkeley to SJ $22 leaving 11:45 AM,180,,0,2025-09-10,Wednesday,22,#drive09102025 Berkeley,San Jose
,,#ride03052025 Need a ride from Fremont to Sacramento. Budget $40,181,,1,2025-03-05,Wednesday,0,Fremont,Sacramento
,,#ride10212024 #ride10232024 Need a ride San Francisco ➜ Sunnyvale. Budget $15,182,,1,2024-10-21,Monday,0,#ride10212024 #ride10232024 Need a ride San Francisco,Sunnyvale
,,#ride03042024 San Francisco to Berkeley | 8AM | 15 dollars | 1 seat,183,,1,2024-03-04,Monday,0,#ride03042024 San Francisco,Berkeley
,,#ride12262024  Sacramento  ➜  Davis  $10-15  leaving  10AM,184,,1,2024-12-26,Thursday,0,#ride12262024 Sacramento,Davis
,,"#ride05122024 Sacramento to San Jose | 2:00 PM | 12 dollars | 1 seat
anyone?",185,,1,2024-05-12,Sunday,0,#ride05122024 Sacramento,San Jose
,,#drive03102024 Berkeley -> Palo Alto 12 dollars leaving 11:40 AM 😊,186,,0,2024-03-10,Sunday,12,#drive03102024 Berkeley,Palo
